timestamp,run_id,experiment_name,description,population_size,num_generations,mutation_percent_genes,crossover_type,parent_selection_type,K_tournament,best_distance,generations_completed
2025-10-09 18:07:26,25244,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,458.08140779094055,241
2025-10-09 18:07:26,25244,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,465.6737769379022,99
2025-10-09 18:07:26,25244,sel_tournament_k3_mut_prob_5prc,Tournament (K=3) mutation prob 5%,200,300,10,single_point,tournament,3,492.6497337069504,151
2025-10-09 18:07:26,25244,sel_tournament_k7_mut_prob_5prc,Tournament (K=7) mutation prob 5%,200,300,10,single_point,tournament,7,488.42565390302235,83
2025-10-09 18:08:32,85156,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,453.20506136188914,181
2025-10-09 18:08:32,85156,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,533.9669062270469,72
2025-10-09 18:08:32,85156,sel_tournament_k3_mut_prob_5prc,Tournament (K=3) mutation prob 5%,200,300,10,single_point,tournament,3,462.54666366558394,208
2025-10-09 18:08:32,85156,sel_tournament_k7_mut_prob_5prc,Tournament (K=7) mutation prob 5%,200,300,10,single_point,tournament,7,472.2693953025978,123
2025-10-09 18:08:39,30507,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,513.4564942694683,145
2025-10-09 18:08:39,30507,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,451.6023519159241,96
2025-10-09 18:08:39,30507,sel_tournament_k3_mut_prob_5prc,Tournament (K=3) mutation prob 5%,200,300,10,single_point,tournament,3,465.4981970200022,100
2025-10-09 18:08:39,30507,sel_tournament_k7_mut_prob_5prc,Tournament (K=7) mutation prob 5%,200,300,10,single_point,tournament,7,516.8656535580353,64
2025-10-09 18:08:45,59568,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,430.4116933359769,143
2025-10-09 18:08:45,59568,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,493.90929620318417,67
2025-10-09 18:08:45,59568,sel_tournament_k3_mut_prob_5prc,Tournament (K=3) mutation prob 5%,200,300,10,single_point,tournament,3,477.49609468776566,112
2025-10-09 18:08:45,59568,sel_tournament_k7_mut_prob_5prc,Tournament (K=7) mutation prob 5%,200,300,10,single_point,tournament,7,505.5068404303062,109
2025-10-09 18:08:52,90848,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,476.7375120024593,112
2025-10-09 18:08:52,90848,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,494.8149390251408,90
