timestamp,run_id,experiment_name,description,population_size,num_generations,mutation_percent_genes,crossover_type,parent_selection_type,K_tournament,best_distance,generations_completed
2025-10-10 07:31:13,27421,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,454.4057348799939,217
2025-10-10 07:31:13,27421,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,509.1482256510459,72
2025-10-10 07:31:13,27421,sel_tournament_k3_percent_genes_5,Tournament (K=3) percent genes 5%,200,300,0.05,single_point,tournament,3,489.32091825371856,130
2025-10-10 07:31:13,27421,sel_tournament_k7_percent_genes_5,Tournament (K=7) percent genes 5%,200,300,10,single_point,tournament,7,434.33448962628086,114
2025-10-10 07:32:51,67769,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,474.94394202937764,222
2025-10-10 07:32:51,67769,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,455.7685801077404,80
2025-10-10 07:32:51,67769,sel_tournament_k3_percent_genes_5,Tournament (K=3) percent genes 5%,200,300,0.05,single_point,tournament,3,452.5083791394788,128
2025-10-10 07:32:51,67769,sel_tournament_k7_percent_genes_5,Tournament (K=7) percent genes 5%,200,300,10,single_point,tournament,7,464.5824822736654,128
2025-10-10 07:32:59,29492,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,463.67433995157614,134
2025-10-10 07:32:59,29492,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,460.1601021266709,86
2025-10-10 07:32:59,29492,sel_tournament_k3_percent_genes_5,Tournament (K=3) percent genes 5%,200,300,0.05,single_point,tournament,3,467.2372028376298,120
2025-10-10 07:32:59,29492,sel_tournament_k7_percent_genes_5,Tournament (K=7) percent genes 5%,200,300,10,single_point,tournament,7,492.4817402225097,87
2025-10-10 07:33:08,35218,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,443.2573009172874,140
2025-10-10 07:33:08,35218,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,453.63623430566594,67
2025-10-10 07:33:08,35218,sel_tournament_k3_percent_genes_5,Tournament (K=3) percent genes 5%,200,300,0.05,single_point,tournament,3,442.435964392721,213
2025-10-10 07:33:08,35218,sel_tournament_k7_percent_genes_5,Tournament (K=7) percent genes 5%,200,300,10,single_point,tournament,7,550.2798179571421,69
