timestamp,run_id,experiment_name,description,population_size,num_generations,mutation_percent_genes,crossover_type,parent_selection_type,K_tournament,best_distance,generations_completed
2025-10-15 08:12:45,63605,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,478.83386601027615,136
2025-10-15 08:12:45,63605,sel_tournament_k7,Tournament (K=7),300,300,25,ox,tournament,7,460.6299034497646,75
2025-10-15 08:12:45,63605,sel_tournament_k5_like_k7,Tournament K=5 params equal K7,300,300,25,ox,tournament,5,460.10704661949126,86
2025-10-15 08:12:45,63605,sel_tournament_k5_like_k3,Tournament K=5 params equal K3,200,300,10,single_point,tournament,5,431.16049632830357,132
2025-10-15 08:14:06,83607,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,422.47151817793116,235
2025-10-15 08:14:06,83607,sel_tournament_k7,Tournament (K=7),300,300,25,ox,tournament,7,420.5026910913565,161
2025-10-15 08:14:06,83607,sel_tournament_k5_like_k7,Tournament K=5 params equal K7,300,300,25,ox,tournament,5,461.2275841378377,92
2025-10-15 08:14:06,83607,sel_tournament_k5_like_k3,Tournament K=5 params equal K3,200,300,10,single_point,tournament,5,422.89739667411186,184
2025-10-15 08:14:17,25169,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,396.5359527365053,162
2025-10-15 08:14:17,25169,sel_tournament_k7,Tournament (K=7),300,300,25,ox,tournament,7,435.7252075505914,66
2025-10-15 08:14:17,25169,sel_tournament_k5_like_k7,Tournament K=5 params equal K7,300,300,25,ox,tournament,5,392.48636307559815,159
2025-10-15 08:14:17,25169,sel_tournament_k5_like_k3,Tournament K=5 params equal K3,200,300,10,single_point,tournament,5,411.94111370050985,115
2025-10-15 08:14:32,35759,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,425.586731451089,172
2025-10-15 08:14:32,35759,sel_tournament_k7,Tournament (K=7),300,300,25,ox,tournament,7,416.84585205424276,132
2025-10-15 08:14:32,35759,sel_tournament_k5_like_k7,Tournament K=5 params equal K7,300,300,25,ox,tournament,5,437.8500349134565,196
2025-10-15 08:14:32,35759,sel_tournament_k5_like_k3,Tournament K=5 params equal K3,200,300,10,single_point,tournament,5,427.8680029251924,120
2025-10-15 08:14:45,47965,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,489.6285799261194,72
2025-10-15 08:14:45,47965,sel_tournament_k7,Tournament (K=7),300,300,25,ox,tournament,7,425.36483542911304,205
2025-10-15 08:14:45,47965,sel_tournament_k5_like_k7,Tournament K=5 params equal K7,300,300,25,ox,tournament,5,436.00754371576323,144
2025-10-15 08:14:45,47965,sel_tournament_k5_like_k3,Tournament K=5 params equal K3,200,300,10,single_point,tournament,5,424.24573825306095,232
