timestamp,run_id,experiment_name,description,population_size,num_generations,mutation_percent_genes,crossover_type,parent_selection_type,K_tournament,best_distance,generations_completed
2025-10-15 07:19:44,32534,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,494.70204021422023,95
2025-10-15 07:19:44,32534,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,418.13784569453867,113
2025-10-15 07:19:44,32534,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,482.826541536903,80
2025-10-15 07:19:44,32534,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,398.3662247440836,151
2025-10-15 07:21:29,57456,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,425.2637773631666,189
2025-10-15 07:21:29,57456,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,431.19536202655996,111
2025-10-15 07:21:29,57456,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,496.0707228259246,89
2025-10-15 07:21:29,57456,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,411.43430315836935,111
2025-10-15 07:21:48,98715,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,449.7553036458922,189
2025-10-15 07:21:48,98715,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,441.86824372891306,135
2025-10-15 07:21:48,98715,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,491.5244549903377,101
2025-10-15 07:21:48,98715,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,390.15089877502976,300
2025-10-15 07:22:04,79344,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,455.14996792004183,177
2025-10-15 07:22:04,79344,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,431.53678950449427,132
2025-10-15 07:22:04,79344,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,421.1351858268842,155
2025-10-15 07:22:04,79344,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,433.6836278263996,168
2025-10-15 07:22:22,96698,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,434.8331600451111,130
2025-10-15 07:22:22,96698,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,391.47034780387855,275
2025-10-15 07:22:22,96698,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,538.2471372997425,92
2025-10-15 07:22:22,96698,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,458.86928797410826,90
2025-10-15 07:22:36,21984,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,457.8655422546115,177
2025-10-15 07:22:36,21984,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,433.52877667537274,99
2025-10-15 07:22:36,21984,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,530.7306603897598,117
2025-10-15 07:22:36,21984,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,407.3585054388414,157
2025-10-15 07:22:50,67724,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,431.5677550610701,111
2025-10-15 07:22:50,67724,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,512.2732694817716,85
2025-10-15 07:22:50,67724,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,478.32051083201014,112
2025-10-15 07:22:50,67724,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,407.84273586276385,178
2025-10-15 07:23:04,77687,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,467.7279896210206,166
2025-10-15 07:23:04,77687,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,450.30761653748004,128
2025-10-15 07:23:04,77687,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,439.4145919342455,194
2025-10-15 07:23:04,77687,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,441.15029479662877,110
2025-10-15 07:23:17,17066,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,404.6023499455104,234
2025-10-15 07:23:17,17066,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,425.3458766914696,127
2025-10-15 07:23:17,17066,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,465.64780334820045,139
2025-10-15 07:23:17,17066,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,399.3472101673083,101
2025-10-15 07:23:32,46712,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,428.1818392051441,249
2025-10-15 07:23:32,46712,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,414.27588589293896,132
2025-10-15 07:23:32,46712,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,503.11557695669546,90
2025-10-15 07:23:32,46712,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,411.38088472431775,124
2025-10-15 07:23:52,65090,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,422.7080217225329,246
2025-10-15 07:23:52,65090,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,424.58400011545353,184
2025-10-15 07:23:52,65090,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,498.5172951625729,90
2025-10-15 07:23:52,65090,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,414.67893151578346,283
2025-10-15 07:24:03,50901,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,473.38254491865484,95
2025-10-15 07:24:03,50901,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,419.82108392211677,108
2025-10-15 07:24:03,50901,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,440.9766018253499,177
2025-10-15 07:24:03,50901,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,442.43900289079346,127
2025-10-15 07:24:22,23529,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,440.8727678267619,201
2025-10-15 07:24:22,23529,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,393.19340917745615,147
2025-10-15 07:24:22,23529,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,445.5410210047433,118
2025-10-15 07:24:22,23529,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,386.32732705077507,289
2025-10-15 07:24:43,97308,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,432.0746200140275,237
2025-10-15 07:24:43,97308,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,402.6442473700813,252
2025-10-15 07:24:43,97308,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,470.68417715035446,162
2025-10-15 07:24:43,97308,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,416.511328616116,204
2025-10-15 07:24:56,87185,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,422.9940938778182,168
2025-10-15 07:24:56,87185,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,431.5746012302683,165
2025-10-15 07:24:56,87185,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,464.91070837192206,116
2025-10-15 07:24:56,87185,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,452.1049284396692,74
2025-10-15 07:25:07,75239,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,505.51099810468924,72
2025-10-15 07:25:07,75239,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,434.5915150722431,95
2025-10-15 07:25:07,75239,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,480.1385145894294,93
2025-10-15 07:25:07,75239,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,428.88675359417005,190
2025-10-15 07:25:21,85213,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,427.0441275862633,146
2025-10-15 07:25:21,85213,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,406.19346369672405,157
2025-10-15 07:25:21,85213,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,529.5675309629734,124
2025-10-15 07:25:21,85213,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,432.1181970870094,120
2025-10-15 07:25:33,72211,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,470.1014626251599,152
2025-10-15 07:25:33,72211,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,427.73680390463284,113
2025-10-15 07:25:33,72211,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,476.5137641609881,111
2025-10-15 07:25:33,72211,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,431.2228118147109,149
2025-10-15 07:25:48,78896,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,440.83156693730115,167
2025-10-15 07:25:48,78896,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,468.7271655993444,121
2025-10-15 07:25:48,78896,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,485.12864828583776,101
2025-10-15 07:25:48,78896,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,408.9974123609122,211
2025-10-15 07:25:59,61452,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,447.9538956871278,221
2025-10-15 07:25:59,61452,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,431.7600120136394,71
2025-10-15 07:25:59,61452,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,457.64957841650465,136
2025-10-15 07:25:59,61452,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,455.5722453643761,107
2025-10-15 07:26:14,49615,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,413.7621242452752,221
2025-10-15 07:26:14,49615,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,396.53595273650524,203
2025-10-15 07:26:14,49615,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,512.1669270595917,96
2025-10-15 07:26:14,49615,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,465.01191867067337,71
2025-10-15 07:26:26,54437,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,485.3856342801687,120
2025-10-15 07:26:26,54437,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,399.3997416333368,129
2025-10-15 07:26:26,54437,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,485.465353496102,106
2025-10-15 07:26:26,54437,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,437.8351516293399,120
2025-10-15 07:26:44,99258,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,445.3207898761969,209
2025-10-15 07:26:44,99258,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,427.994472743889,275
2025-10-15 07:26:44,99258,sel_tournament_k3_ox,Tournament (K=3) OX,200,300,10,ox,tournament,3,485.22323931672315,109
2025-10-15 07:26:44,99258,sel_tournament_k7_ox,Tournament (K=7) OX,300,300,25,ox,tournament,7,456.45869147306286,85
2025-10-15 07:27:02,97363,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,460.8976235319809,227
2025-10-15 07:27:02,97363,sel_tournament_k7,Tournament (K=7),300,300,25,two_points,tournament,7,409.1063666219555,224
