timestamp,run_id,experiment_name,description,population_size,num_generations,mutation_percent_genes,crossover_type,parent_selection_type,K_tournament,best_distance,generations_completed
2025-10-09 16:51:06,77971,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,426.3760422027763,184
2025-10-09 16:51:06,77971,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,512.8929058475404,62
2025-10-09 16:51:06,77971,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,408.7789907363555,200
2025-10-09 16:51:06,77971,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,503.1741100921912,108
2025-10-09 17:01:38,46887,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,453.1519039541472,80
2025-10-09 17:01:38,46887,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,496.2134370739005,94
2025-10-09 17:01:38,46887,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,455.9300662037428,182
2025-10-09 17:01:38,46887,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,481.84616633107134,76
2025-10-09 17:01:47,32810,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,451.39899679153297,169
2025-10-09 17:01:47,32810,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,500.56126652697935,66
2025-10-09 17:01:47,32810,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,434.6645105671924,134
2025-10-09 17:01:47,32810,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,457.53457655934966,168
2025-10-09 17:01:55,89387,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,447.0370514082273,174
2025-10-09 17:01:55,89387,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,474.3724536208362,90
2025-10-09 17:01:55,89387,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,474.13092999038327,107
2025-10-09 17:01:55,89387,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,449.09936826009226,94
2025-10-09 17:02:03,59177,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,457.6309131423188,130
2025-10-09 17:02:03,59177,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,408.13490781649995,95
2025-10-09 17:02:03,59177,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,466.3390739459717,132
2025-10-09 17:02:03,59177,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,462.59809666729063,64
2025-10-09 17:02:15,38374,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,477.3460651424042,117
2025-10-09 17:02:15,38374,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,483.1624211605861,141
2025-10-09 17:02:15,38374,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,447.9324039542447,209
2025-10-09 17:02:15,38374,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,452.018671381278,199
2025-10-09 17:02:22,68339,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,461.97867615581873,111
2025-10-09 17:02:22,68339,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,479.02938678408333,73
2025-10-09 17:02:22,68339,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,455.3109515103594,96
2025-10-09 17:02:22,68339,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,462.09961821628826,85
2025-10-09 17:02:31,38743,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,427.46660749548215,177
2025-10-09 17:02:31,38743,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,516.5740915414762,71
2025-10-09 17:02:31,38743,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,466.6999430561252,186
2025-10-09 17:02:31,38743,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,486.4050083604702,66
2025-10-09 17:02:39,43855,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,474.7684767223485,117
2025-10-09 17:02:39,43855,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,498.3977382831332,75
2025-10-09 17:02:39,43855,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,461.43692911486824,125
2025-10-09 17:02:39,43855,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,442.35330818481197,120
2025-10-09 17:02:48,72698,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,458.9274706615602,160
2025-10-09 17:02:48,72698,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,468.3062929300845,77
2025-10-09 17:02:48,72698,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,443.92169626512555,173
2025-10-09 17:02:48,72698,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,497.0100550896299,89
2025-10-09 17:02:55,34212,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,512.808897896298,95
2025-10-09 17:02:55,34212,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,498.7425242411528,92
2025-10-09 17:02:55,34212,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,451.9245306677695,197
2025-10-09 17:02:55,34212,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,500.0159466305204,69
2025-10-09 17:03:04,18501,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,458.5945555330201,113
2025-10-09 17:03:04,18501,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,477.027976480434,94
2025-10-09 17:03:04,18501,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,482.4981572789226,92
2025-10-09 17:03:04,18501,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,431.04281195245983,176
2025-10-09 17:03:13,26781,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,481.6665812055774,152
2025-10-09 17:03:13,26781,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,415.76582798588726,107
2025-10-09 17:03:13,26781,sel_tournament_k3_parents_mating_50prc,Tournament (K=3) parents mating 50%,200,300,10,single_point,tournament,3,442.05581629118393,187
2025-10-09 17:03:13,26781,sel_tournament_k7_crossover_parents_mating_50prc,Tournament (K=7) parents mating 50%,200,300,10,single_point,tournament,7,525.8882507290638,68
2025-10-09 17:03:21,55209,baseline,Baseline Tournament (K=3),200,300,10,single_point,tournament,3,455.5354812557861,154
2025-10-09 17:03:21,55209,sel_tournament_k7,Tournament (K=7),200,300,10,single_point,tournament,7,481.8766183195052,76
