experiment_name,best_distance_count,best_distance_mean,best_distance_std,best_distance_min,best_distance_max,generations_completed_mean,generations_completed_std,cv_distance
sel_tournament_k7_crossover_2pts,60,439.06,14.08,408.78,474.42,105.3,19.09,3.21
sel_tournament_k7,60,468.09,23.96,408.78,534.34,98.25,25.85,5.12
baseline,60,454.72,23.34,409.87,519.63,160.9,42.61,5.13
sel_tournament_k3_crossover_2pts,60,494.73,34.6,424.61,581.77,147.93,54.15,6.99
